URI,ResourceType,Methods,Actions,Status,Manufacturer,Model,PartNumber,SerialNumber,UUID
/redfish/v1/JsonSchemas/MetricDefinition,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MetricDefinitionCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MetricReport,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MetricReportCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MetricReportDefinition,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MetricReportDefinitionCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/MouseMode,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/NTP,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/OperatingConfig,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/OperatingConfigCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PCIeDevice,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PCIeDeviceCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PCIeFunction,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PCIeFunctionCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PCIeSlots,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Peci,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PhysicalContext,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Port,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PortCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Power,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PowerSubsystem,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PowerSupply,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/PowerSupplyCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Privileges,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Processor,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/ProcessorCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Protocol,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/QueryLicense,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/RADIUS,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Redundancy,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Resource,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Role,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/RoleCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SMCRAKP,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SSLCert,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Sensor,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SensorCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
